id,name,species,type1,type2,abilities,hp,defense,spDefense,attack,spAttack,speed,statTotal,eggCycle,catchRate,height,weight,mRatio,fRatio,generation,eggGroup1,eggGroup2,legendary,colour,evolutionLine
1,Bulbasaur,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",45,49,65,49,65,45,318,5120,45,0.7,6.9,87.5,12.5,1,Monster,Grass,FALSE,green,1
2,Ivysaur,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",60,63,80,62,80,60,405,5120,45,1,13,87.5,12.5,1,Monster,Grass,FALSE,green,1
3,Venusaur,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",80,123,120,100,122,80,625,5120,45,2,100,87.5,12.5,1,Monster,Grass,FALSE,green,1
4,Charmander,Lizard Pokémon,fire,,"['Blaze', 'Solar Power']",39,43,50,52,60,65,309,5120,45,0.6,8.5,87.5,12.5,1,Monster,Dragon,FALSE,red,2
5,Charmeleon,Flame Pokémon,fire,,"['Blaze', 'Solar Power']",58,58,65,64,80,80,405,5120,45,1.1,19,87.5,12.5,1,Monster,Dragon,FALSE,red,2
6,Charizard,Flame Pokémon,fire,flying,"['Blaze', 'Solar Power']",78,78,115,104,159,100,634,5120,45,1.7,90.5,87.5,12.5,1,Monster,Dragon,FALSE,red,2
7,Squirtle,Tiny Turtle Pokémon,water,,"['Torrent', 'Rain Dish']",44,65,64,48,50,43,314,5120,45,0.5,9,87.5,12.5,1,Monster,Water1,FALSE,blue,3
8,Wartortle,Turtle Pokémon,water,,"['Torrent', 'Rain Dish']",59,80,80,63,65,58,405,5120,45,1,22.5,87.5,12.5,1,Monster,Water1,FALSE,blue,3
9,Blastoise,Shellfish Pokémon,water,,"['Torrent', 'Rain Dish']",79,120,115,103,135,78,630,5120,45,1.6,85.5,87.5,12.5,1,Monster,Water1,FALSE,blue,3
10,Caterpie,Worm Pokémon,bug,,"['Shield Dust', 'Run Away']",45,35,20,30,20,45,195,3840,255,0.3,2.9,50,50,1,Bug,,FALSE,green,4
11,Metapod,Cocoon Pokémon,bug,,['Shed Skin'],50,55,25,20,25,30,205,3840,120,0.7,9.9,50,50,1,Bug,,FALSE,green,4
12,Butterfree,Butterfly Pokémon,bug,flying,"['Compoundeyes', 'Tinted Lens']",60,50,80,45,90,70,395,3840,45,1.1,32,50,50,1,Bug,,FALSE,white,4
13,Weedle,Hairy Pokémon,bug,poison,"['Shield Dust', 'Run Away']",40,30,20,35,20,50,195,3840,255,0.3,3.2,50,50,1,Bug,,FALSE,brown,5
14,Kakuna,Cocoon Pokémon,bug,poison,['Shed Skin'],45,50,25,25,25,35,205,3840,120,0.6,10,50,50,1,Bug,,FALSE,yellow,5
15,Beedrill,Poison Bee Pokémon,bug,poison,"['Swarm', 'Sniper']",65,40,80,150,15,145,495,3840,45,1,29.5,50,50,1,Bug,,FALSE,yellow,5
16,Pidgey,Tiny Bird Pokémon,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",40,40,35,45,35,56,251,3840,255,0.3,1.8,50,50,1,Flying,,FALSE,brown,6
17,Pidgeotto,Bird Pokémon,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",63,55,50,60,50,71,349,3840,120,1.1,30,50,50,1,Flying,,FALSE,brown,6
18,Pidgeot,Bird Pokémon,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",83,80,80,80,135,121,579,3840,45,1.5,39.5,50,50,1,Flying,,FALSE,brown,6
19,Rattata,Mouse Pokémon,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",30,35,35,56,25,72,253,3840,255,0.3,3.5,50,50,1,Field,,FALSE,purple,7
20,Raticate,Mouse Pokémon,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",75,70,80,71,40,77,413,3840,127,0.7,18.5,50,50,1,Field,,FALSE,brown,7
21,Spearow,Tiny Bird Pokémon,normal,flying,"['Keen Eye', 'Sniper']",40,30,31,60,31,70,262,3840,255,0.3,2,50,50,1,Flying,,FALSE,brown,8
22,Fearow,Beak Pokémon,normal,flying,"['Keen Eye', 'Sniper']",65,65,61,90,61,100,442,3840,90,1.2,38,50,50,1,Flying,,FALSE,brown,8
23,Ekans,Snake Pokémon,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",35,44,54,60,40,55,288,5120,255,2,6.9,50,50,1,Field,Dragon,FALSE,purple,9
24,Arbok,Cobra Pokémon,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",60,69,79,95,65,80,448,5120,90,3.5,65,50,50,1,Field,Dragon,FALSE,purple,9
25,Pikachu,Mouse Pokémon,electric,,"['Static', 'Lightningrod']",35,40,50,55,50,90,320,2560,190,0.4,6,50,50,1,Field,Fairy,FALSE,yellow,10
26,Raichu,Mouse Pokémon,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",60,50,85,85,95,110,485,2560,75,0.8,30,50,50,1,Field,Fairy,FALSE,yellow,10
27,Sandshrew,Mouse Pokémon,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",50,90,35,75,10,40,300,5120,255,0.6,12,50,50,1,Field,,FALSE,yellow,11
28,Sandslash,Mouse Pokémon,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,120,65,100,25,65,450,5120,90,1,29.5,50,50,1,Field,,FALSE,yellow,11
29,Nidoran♀,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",55,52,40,47,40,41,275,5120,235,0.4,7,0,100,1,Monster,Field,FALSE,blue,12
